ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Acadia,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group-Sites,-68.210843,"Map
,G1",3479,15,Blackwoods Campground,Pets Allowed,44.313131,15 Back-In
Acadia,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group-Sites,-68.210843,"Map
,G2",3479,15,Blackwoods Campground,Pets Allowed,44.313131,15 Parallel
Acadia,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group-Sites,-68.210843,"Map
,G4",3479,15,Blackwoods Campground,Pets Allowed,44.313131,15 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A002",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A003",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A004",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A005",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A006",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A007",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A008",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A009",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A010",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A011",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A012",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A013",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A014",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A015",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A016",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A017",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A018",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A019",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A020",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A024",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A021",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
Acadia,4.5,TENT ONLY NONELECTRIC,Loop A,-68.210843,"Map
,A022",3479,6,Blackwoods Campground,Pets Allowed,44.313131,
