ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A01,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A02,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A03,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A04,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A05,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,STANDARD ELECTRIC,A-Loop,-68.067709,A06,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A07,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A08,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A09,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A10,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A11,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,RV ELECTRIC,A-Loop,-68.067709,A12,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,TENT ONLY ELECTRIC,A-Loop,-68.067709,A13,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,TENT ONLY ELECTRIC,A-Loop,-68.067709,A14,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,TENT ONLY ELECTRIC,A-Loop,-68.067709,A15,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,TENT ONLY ELECTRIC,A-Loop,-68.067709,A16,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,TENT ONLY ELECTRIC,A-Loop,-68.067709,A17,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,TENT ONLY ELECTRIC,A-Loop,-68.067709,A18,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
Acadia,4.7,STANDARD ELECTRIC,A-Loop,-68.067709,A19,1552,"6
",Schoodic Woods Campground,Pets Allowed,44.380903,20 Back-In
