ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A01",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A02",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A03",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A04",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A06",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A07",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A08",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A09",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A10",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A11",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A12",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A13",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A14",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A15",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A16",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A17",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A18",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,STANDARD NONELECTRIC,A-Loop,-68.305995,"Map
,A20",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
Acadia,4.5,TENT ONLY NONELECTRIC,A-Loop,-68.305995,"Map
,A21",1788,6,Seawall Campground,Pets Allowed,44.242229,20 Back-In
