ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,007",557,"10
",Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,028",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,001",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,029",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,030",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,031",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,032",557,10,Devils Garden Campground,Pets Allowed,38.776944,36 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,033",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,002",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,003",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,004",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,006",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,034",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,036",557,10,Devils Garden Campground,Pets Allowed,38.776944,38 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,038",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,039",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,040",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,008",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,009",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,010",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,011",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,012",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,013",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,014",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,RV NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,042",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,043",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,044",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,045",557,10,Devils Garden Campground,Pets Allowed,38.776944,20 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,046",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,048",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,RV NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,049",557,10,Devils Garden Campground,Pets Allowed,38.776944,36 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,015",557,10,Devils Garden Campground,Pets Allowed,38.776944,40 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,016",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,017",557,10,Devils Garden Campground,Pets Allowed,38.776944,30 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,018",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,019",557,10,Devils Garden Campground,Pets Allowed,38.776944,36 Pull-Through
Arches,4.7,STANDARD NONELECTRIC,DEVILS GARDEN CAMPGROUND,-109.589167,"Map
,020",557,10,Devils Garden Campground,Pets Allowed,38.776944,25 Back-In
