ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A01",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A02",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A03",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,27 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A04",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Back-In
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A05",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,27 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A06",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,27 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A07",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,35 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop B,-113.985278,"Map
,B84",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A13",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A14",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,35 Back-In
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A15",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A16",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,21 Back-In
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A17",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,24 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop A,-113.985278,"Map
,A18",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,27 Pull-Through
Glacier,4.5,STANDARD NONELECTRIC,Loop B,-113.985278,"Map
,B85",1499,8,Fish Creek Campground,Pets Allowed,48.5477789,35 Pull-Through
