ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R026,340,8,Many Glacier Campground,Pets Allowed,48.796677,25 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R027,340,8,Many Glacier Campground,Pets Allowed,48.796677,25 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R028,340,8,Many Glacier Campground,Pets Allowed,48.796677,20 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R029,340,8,Many Glacier Campground,Pets Allowed,48.796677,25 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R032,340,8,Many Glacier Campground,Pets Allowed,48.796677,20 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R033,340,8,Many Glacier Campground,Pets Allowed,48.796677,18 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R034,340,8,Many Glacier Campground,Pets Allowed,48.796677,15 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R035,340,8,Many Glacier Campground,Pets Allowed,48.796677,30 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R036,340,8,Many Glacier Campground,Pets Allowed,48.796677,20 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R038,340,8,Many Glacier Campground,Pets Allowed,48.796677,18 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R039,340,8,Many Glacier Campground,Pets Allowed,48.796677,18 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R040,340,8,Many Glacier Campground,Pets Allowed,48.796677,18 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R041,340,8,Many Glacier Campground,Pets Allowed,48.796677,15 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R042,340,8,Many Glacier Campground,Pets Allowed,48.796677,15 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R043,340,8,Many Glacier Campground,Pets Allowed,48.796677,18 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R044,340,8,Many Glacier Campground,Pets Allowed,48.796677,15 Pull-Through
Glacier,4.6,STANDARD NONELECTRIC,West Loop,-113.677342,R045,340,8,Many Glacier Campground,Pets Allowed,48.796677,15 Pull-Through
