ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A01",1250,8,Saint Mary Campground,Pets Allowed,48.75141,24 Pull-Through
Glacier,4.2,GROUP STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C139",1250,24,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A02",1250,8,Saint Mary Campground,Pets Allowed,48.75141,25 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A03",1250,8,Saint Mary Campground,Pets Allowed,48.75141,25 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A04",1250,8,Saint Mary Campground,Pets Allowed,48.75141,24 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A05",1250,8,Saint Mary Campground,Pets Allowed,48.75141,27 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A06",1250,8,Saint Mary Campground,Pets Allowed,48.75141,27 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C110",1250,8,Saint Mary Campground,Pets Allowed,48.75141,25 Pull-Through
Glacier,4.2,GROUP STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C140",1250,24,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C141",1250,8,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C142",1250,8,Saint Mary Campground,Pets Allowed,48.75141,40 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C143",1250,8,Saint Mary Campground,Pets Allowed,48.75141,25 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C144",1250,8,Saint Mary Campground,Pets Allowed,48.75141,27 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A07",1250,8,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A08",1250,8,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A09",1250,8,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A10",1250,8,Saint Mary Campground,Pets Allowed,48.75141,35 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A11",1250,8,Saint Mary Campground,Pets Allowed,48.75141,25 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop A,-113.445467,"Map
,A12",1250,8,Saint Mary Campground,Pets Allowed,48.75141,24 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C111",1250,8,Saint Mary Campground,Pets Allowed,48.75141,27 Pull-Through
Glacier,4.2,STANDARD NONELECTRIC,Loop C,-113.445467,"Map
,C112",1250,8,Saint Mary Campground,Pets Allowed,48.75141,27 Pull-Through
