ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
GrandCanyon,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-112.05997809999997,"Map
,GRPA",1992,25,North Rim CampGround,Pets Allowed - no,36.2097538,12
GrandCanyon,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-112.05997809999997,"Map
,GRPB",1992,25,North Rim CampGround,Pets Allowed - no,36.2097538,12
GrandCanyon,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-112.05997809999997,"Map
,GRPC",1992,25,North Rim CampGround,Pets Allowed - no,36.2097538,12
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,003",1992,6,North Rim CampGround,Pets Allowed,36.2097538,27 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,004",1992,6,North Rim CampGround,Pets Allowed,36.2097538,21 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,005",1992,6,North Rim CampGround,Pets Allowed,36.2097538,27 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,006",1992,6,North Rim CampGround,Pets Allowed,36.2097538,21 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,007",1992,6,North Rim CampGround,Pets Allowed,36.2097538,27 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,008",1992,6,North Rim CampGround,Pets Allowed,36.2097538,27 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,009",1992,6,North Rim CampGround,Pets Allowed,36.2097538,27 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,010",1992,6,North Rim CampGround,Pets Allowed,36.2097538,27 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,011",1992,6,North Rim CampGround,Pets Allowed,36.2097538,40 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,012",1992,6,North Rim CampGround,Pets Allowed,36.2097538,40 Pull-Through
GrandCanyon,4.7,STANDARD NONELECTRIC,NORTH RIM CAMPGROUND,-112.05997809999997,"Map
,013",1992,6,North Rim CampGround,Pets Allowed,36.2097538,40 Pull-Through
