ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C01",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Pull-Through
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C02",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Pull-Through
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C03",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Back-In
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C04",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Back-In
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C05",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Back-In
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C06",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Back-In
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C07",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C08",1931,6,Cades Cove Campground,Pets Allowed,35.602231,30 Pull-Through
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C09",1931,6,Cades Cove Campground,Pets Allowed,35.602231,33 Back-In
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C10",1931,6,Cades Cove Campground,Pets Allowed,35.602231,24 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C11",1931,6,Cades Cove Campground,Pets Allowed,35.602231,24 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C13",1931,6,Cades Cove Campground,Pets Allowed,35.602231,24 Pull-Through
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C14",1931,6,Cades Cove Campground,Pets Allowed,35.602231,27 Pull-Through
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C15",1931,6,Cades Cove Campground,Pets Allowed,35.602231,26 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C16",1931,6,Cades Cove Campground,Pets Allowed,35.602231,35 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C17",1931,6,Cades Cove Campground,Pets Allowed,35.602231,29 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C18",1931,6,Cades Cove Campground,Pets Allowed,35.602231,33 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C19",1931,6,Cades Cove Campground,Pets Allowed,35.602231,31 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C20",1931,6,Cades Cove Campground,Pets Allowed,35.602231,29 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C21",1931,6,Cades Cove Campground,Pets Allowed,35.602231,35 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C22",1931,6,Cades Cove Campground,Pets Allowed,35.602231,28 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C23",1931,6,Cades Cove Campground,Pets Allowed,35.602231,28 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C24",1931,6,Cades Cove Campground,Pets Allowed,35.602231,34 Back-In
Great Smoky Mountain,4.5,STANDARD NONELECTRIC,Generator Free loop,-83.774943,"Map
,C25",1931,6,Cades Cove Campground,Pets Allowed,35.602231,31 Back-In
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C26",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Pull-Through
Great Smoky Mountain,4.5,TENT ONLY NONELECTRIC,Generator Free loop,-83.774943,"Map
,C58",1931,6,Cades Cove Campground,Pets Allowed,35.602231, Back-In
