ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,1",528,6,Cataloochee Campground,Pets Allowed,35.631171,33 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,2",528,6,Cataloochee Campground,Pets Allowed,35.631171,25 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,3",528,6,Cataloochee Campground,Pets Allowed,35.631171,24 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,4",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,5",528,6,Cataloochee Campground,Pets Allowed,35.631171,30 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,6",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,7",528,6,Cataloochee Campground,Pets Allowed,35.631171,34 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,8",528,6,Cataloochee Campground,Pets Allowed,35.631171,32 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,9",528,6,Cataloochee Campground,Pets Allowed,35.631171,30 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,10",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,11",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,12",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,13",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,14",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,15",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,16",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,17",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,18",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,19",528,6,Cataloochee Campground,Pets Allowed,35.631171,34 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,20",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,21",528,6,Cataloochee Campground,Pets Allowed,35.631171,28 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,22",528,6,Cataloochee Campground,Pets Allowed,35.631171,36 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,23",528,6,Cataloochee Campground,Pets Allowed,35.631171,36 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,24",528,6,Cataloochee Campground,Pets Allowed,35.631171,32 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,25",528,6,Cataloochee Campground,Pets Allowed,35.631171,38 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,26",528,6,Cataloochee Campground,Pets Allowed,35.631171,30 Back-In
Great Smoky Mountain,4.7,STANDARD NONELECTRIC,CATALOOCHEE CAMPGROUND,-83.085502,"Map
,27",528,6,Cataloochee Campground,Pets Allowed,35.631171,35 Back-In
