ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,021",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,023",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,024",1575,6,Black Rock Campground,Pets Allowed,34.073333,25 Back-In
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,025",1575,6,Black Rock Campground,Pets Allowed,34.073333,28 Back-In
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,026",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,027",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,028",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,029",1575,6,Black Rock Campground,Pets Allowed,34.073333,28 Back-In
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,030",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,031",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,032",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,033",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,034",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,035",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,037",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,038",1575,6,Black Rock Campground,Pets Allowed,34.073333,35 Pull-Through
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,039",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,040",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,041",1575,6,Black Rock Campground,Pets Allowed,34.073333,35 Pull-Through
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,042",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,043",1575,6,Black Rock Campground,Pets Allowed,34.073333,35 Pull-Through
Joshua Tree,4.3,TENT ONLY NONELECTRIC,Loop A,-116.389757,"Map
,044",1575,6,Black Rock Campground,Pets Allowed,34.073333,
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,045",1575,6,Black Rock Campground,Pets Allowed,34.073333,35 Pull-Through
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,046",1575,6,Black Rock Campground,Pets Allowed,34.073333,35 Pull-Through
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop A,-116.389757,"Map
,047",1575,6,Black Rock Campground,Pets Allowed,34.073333,35 Pull-Through
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop B,-116.389757,"Map
,066",1575,6,Black Rock Campground,Pets Allowed,34.073333,28 Back-In
Joshua Tree,4.3,STANDARD NONELECTRIC,Loop B,-116.389757,"Map
,067",1575,6,Black Rock Campground,Pets Allowed,34.073333,30 Back-In
