ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G01",899,60,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G02",899,45,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G03",899,15,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G04",899,25,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G05",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G06",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G07",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G08",899,25,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G09",899,15,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G10",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G11",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G12",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.159443,"Map
,G13",899,20,Indian cove Campground,Pets Allowed,34.094906,25
Joshua Tree,4.7,STANDARD NONELECTRIC,"Sites 1-7,19-52",-116.159443,"Map
,002",899,6,Indian cove Campground,Pets Allowed,34.094906,35 Back-In
Joshua Tree,4.7,STANDARD NONELECTRIC,"Sites 1-7,19-52",-116.159443,"Map
,003",899,6,Indian cove Campground,Pets Allowed,34.094906,35 Back-In
Joshua Tree,4.7,TENT ONLY NONELECTRIC,"Sites 1-7,19-52",-116.159443,"Map
,004",899,4,Indian cove Campground,Pets Allowed,34.094906,
Joshua Tree,4.7,TENT ONLY NONELECTRIC,"Sites 1-7,19-52",-116.159443,"Map
,005",899,6,Indian cove Campground,Pets Allowed,34.094906,
Joshua Tree,4.7,STANDARD NONELECTRIC,"Sites 1-7,19-52",-116.159443,"Map
,006",899,6,Indian cove Campground,Pets Allowed,34.094906,30 Back-In
Joshua Tree,4.7,STANDARD NONELECTRIC,"Sites 1-7,19-52",-116.159443,"Map
,007",899,6,Indian cove Campground,Pets Allowed,34.094906,35 Back-In
