ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV001,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,20 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV002,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV003,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV004,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV005,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV006,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV007,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,26' RV Site,-123.863497,RV008,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,26 Back-In
Olympic,4.1,RV ELECTRIC,36' RV Site ,-123.863497,RV009,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36' RV Site ,-123.863497,RV010,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36' RV Site ,-123.863497,RV011,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36' RV Site ,-123.863497,RV012,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36' RV Site ,-123.863497,RV013,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36'SLIDE OUT RV Site,-123.863497,RV014,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36'SLIDE OUT RV Site,-123.863497,RV015,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36'SLIDE OUT RV Site,-123.863497,RV016,924,"8
",Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,RV ELECTRIC,36'SLIDE OUT RV Site,-123.863497,RV017,924,"8
",Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,36 Back-In
Olympic,4.1,GROUP STANDARD NONELECTRIC,GROUP,-123.863497,GROUP,924,24,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,50 Pull-Through
Olympic,4.1,STANDARD NONELECTRIC,Loop A,-123.863497,005,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,28 Parallel
Olympic,4.1,STANDARD NONELECTRIC,Loop A,-123.863497,006,924,8,Sol Duc Hot Springs Resort Campground,Pets Allowed,47.970112,20 Back-In
