ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,A Loop,-105.59269,"Map
,001",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,A Loop,-105.59269,"Map
,002",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,A Loop,-105.59269,"Map
,003",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,A Loop,-105.59269,"Map
,004",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,A Loop,-105.59269,"Map
,005",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,WALK TO,A Loop,-105.59269,"Map
,A",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,WALK TO,A Loop,-105.59269,"Map
,B",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,WALK TO,A Loop,-105.59269,"Map
,C",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,WALK TO,A Loop,-105.59269,"Map
,D",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,WALK TO,A Loop,-105.59269,"Map
,E",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,STANDARD NONELECTRIC,B Loop,-105.59269,"Map
,006",802,8,Aspenglen Campground,Pets Allowed,40.400306,15 Back-In
Rocky Mountain,4.6,STANDARD NONELECTRIC,B Loop,-105.59269,"Map
,007",802,8,Aspenglen Campground,Pets Allowed,40.400306,15 Back-In
Rocky Mountain,4.6,STANDARD NONELECTRIC,B Loop,-105.59269,"Map
,008",802,8,Aspenglen Campground,Pets Allowed,40.400306,18 Back-In
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,B Loop,-105.59269,"Map
,009",802,8,Aspenglen Campground,Pets Allowed,40.400306,
Rocky Mountain,4.6,STANDARD NONELECTRIC,B Loop,-105.59269,"Map
,010",802,8,Aspenglen Campground,Pets Allowed,40.400306,21 Back-In
Rocky Mountain,4.6,TENT ONLY NONELECTRIC,B Loop,-105.59269,"Map
,011",802,8,Aspenglen Campground,Pets Allowed,40.400306,
