ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G001-S",1464,15,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G002-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G003-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G004-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G005-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G006-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G007-L",1464,40,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G008-L",1464,40,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G009-L",1464,40,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G010-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G011-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G012-M",1464,25,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,GROUP TENT ONLY AREA NONELECTRIC,Group Sites,-105.596097,"Map
,G013-S",1464,15,Glacier Basin Campground,Pets Allowed,40.328472,
Rocky Mountain,4.5,STANDARD NONELECTRIC,Loop A,-105.596097,"Map
,A001",1464,8,Glacier Basin Campground,Pets Allowed,40.328472,32 Pull-Through
Rocky Mountain,4.5,STANDARD NONELECTRIC,Loop A,-105.596097,"Map
,A002",1464,8,Glacier Basin Campground,Pets Allowed,40.328472,35 Parallel
Rocky Mountain,4.5,TENT ONLY NONELECTRIC,Loop A,-105.596097,"Map
,A003",1464,8,Glacier Basin Campground,Pets Allowed,40.328472, Parallel
Rocky Mountain,4.5,STANDARD NONELECTRIC,Loop A,-105.596097,"Map
,A004",1464,8,Glacier Basin Campground,Pets Allowed,40.328472,22 Back-In
Rocky Mountain,4.5,STANDARD NONELECTRIC,Loop A,-105.596097,"Map
,A005",1464,8,Glacier Basin Campground,Pets Allowed,40.328472,18 Back-In
Rocky Mountain,4.5,STANDARD NONELECTRIC,Loop A,-105.596097,"Map
,A006",1464,8,Glacier Basin Campground,Pets Allowed,40.328472,35 Parallel
Rocky Mountain,4.5,STANDARD NONELECTRIC,Loop A,-105.596097,"Map
,A007",1464,8,Glacier Basin Campground,Pets Allowed,40.328472,35 Parallel
Rocky Mountain,4.5,TENT ONLY NONELECTRIC,Loop A,-105.596097,"Map
,A008",1464,8,Glacier Basin Campground,Pets Allowed,40.328472, Back-In
Rocky Mountain,4.5,TENT ONLY NONELECTRIC,Loop A,-105.596097,"Map
,A009",1464,8,Glacier Basin Campground,Pets Allowed,40.328472, Parallel
