ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,101",1797,6,Crane Flat Campground,Pets Allowed,37.748084,30 Pull-Through
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,102",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,103",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,104",1797,6,Crane Flat Campground,Pets Allowed,37.748084,17 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,105",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,106",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,107",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,108",1797,6,Crane Flat Campground,Pets Allowed,37.748084,25 Parallel
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,109",1797,6,Crane Flat Campground,Pets Allowed,37.748084,17 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,110",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,111",1797,6,Crane Flat Campground,Pets Allowed,37.748084,17 Back-In
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,112",1797,6,Crane Flat Campground,Pets Allowed,37.748084,20 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,113",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,114",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,115",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,116",1797,6,Crane Flat Campground,Pets Allowed,37.748084,30 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,117",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,118",1797,6,Crane Flat Campground,Pets Allowed,37.748084,17 Back-In
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,119",1797,6,Crane Flat Campground,Pets Allowed,37.748084,20 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,120",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,121",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,122",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,100,-119.799632,"Map
,123",1797,6,Crane Flat Campground,Pets Allowed,37.748084,25 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,124",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,100,-119.799632,"Map
,126",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,300,-119.799632,"Map
,320",1797,6,Crane Flat Campground,Pets Allowed,37.748084,20 Pull-Through
Yosemite,3.9,TENT ONLY NONELECTRIC,500,-119.799632,"Map
,532",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,300,-119.799632,"Map
,322",1797,6,Crane Flat Campground,Pets Allowed,37.748084,20 Pull-Through
Yosemite,3.9,STANDARD NONELECTRIC,300,-119.799632,"Map
,324",1797,6,Crane Flat Campground,Pets Allowed,37.748084,25 Back-In
Yosemite,3.9,STANDARD NONELECTRIC,300,-119.799632,"Map
,326",1797,6,Crane Flat Campground,Pets Allowed,37.748084,35 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,400,-119.799632,"Map
,401",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,400,-119.799632,"Map
,402",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,500,-119.799632,"Map
,534",1797,6,Crane Flat Campground,Pets Allowed,37.748084,20 Back-In
Yosemite,3.9,STANDARD NONELECTRIC,500,-119.799632,"Map
,536",1797,6,Crane Flat Campground,Pets Allowed,37.748084,20 Back-In
Yosemite,3.9,TENT ONLY NONELECTRIC,500,-119.799632,"Map
,538",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,500,-119.799632,"Map
,540",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,TENT ONLY NONELECTRIC,500,-119.799632,"Map
,542",1797,6,Crane Flat Campground,Pets Allowed,37.748084,
Yosemite,3.9,STANDARD NONELECTRIC,200,-119.799632,"Map
,202",1797,6,Crane Flat Campground,Pets Allowed,37.748084,35 Parallel
