ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Yosemite,3.8,TENT ONLY NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,001",1302,6,Hodgdon Headow,Pets Allowed,37.798252,
Yosemite,3.8,TENT ONLY NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,002",1302,6,Hodgdon Headow,Pets Allowed,37.798252,
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,003",1302,6,Hodgdon Headow,Pets Allowed,37.798252,25 Pull-Through
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,004",1302,6,Hodgdon Headow,Pets Allowed,37.798252,35 Pull-Through
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,005",1302,6,Hodgdon Headow,Pets Allowed,37.798252,35 Pull-Through
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,006",1302,6,Hodgdon Headow,Pets Allowed,37.798252,35 Back-In
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,007",1302,6,Hodgdon Headow,Pets Allowed,37.798252,30 Back-In
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,008",1302,6,Hodgdon Headow,Pets Allowed,37.798252,25 Back-In
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,011",1302,6,Hodgdon Headow,Pets Allowed,37.798252,25 Back-In
Yosemite,3.8,STANDARD NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,012",1302,6,Hodgdon Headow,Pets Allowed,37.798252,25 Back-In
Yosemite,3.8,TENT ONLY NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,013",1302,6,Hodgdon Headow,Pets Allowed,37.798252,
Yosemite,3.8,TENT ONLY NONELECTRIC,Hodgdon Campground,-119.86614,"Map
,014",1302,6,Hodgdon Headow,Pets Allowed,37.798252,
