ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,101",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,103",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,105",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,107",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,109",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,115",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,524",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,525",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,526",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,527",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,529",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,531",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,123",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,128",1072,6,North Pines,Pets Allowed,37.741944,40 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,131",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,132",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,134",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP2,-119.565556,"Map
,135",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,136",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,200",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP2,-119.565556,"Map
,201",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,203",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,204",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,206",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,207",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,314",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,315",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,316",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,318",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,319",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,320",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,509",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,511",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,321",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP3,-119.565556,"Map
,322",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP3,-119.565556,"Map
,323",1072,6,North Pines,Pets Allowed,37.741944,38 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,513",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP3,-119.565556,"Map
,515",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,111",1072,"6
",North Pines,Pets Allowed,37.741944,38 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,113",1072,"6
",North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP1,-119.565556,"Map
,119",1072,"6
",North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,125",1072,"6
",North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,129",1072,"6
",North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,208",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,400",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,401",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,402",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,403",1072,6,North Pines,Pets Allowed,37.741944,38 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP4,-119.565556,"Map
,404",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,405",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,209",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,210",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,212",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,213",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,214",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,500",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP4,-119.565556,"Map
,501",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,502",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP4,-119.565556,"Map
,503",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,504",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP4,-119.565556,"Map
,505",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,215",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,217",1072,6,North Pines,Pets Allowed,37.741944,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP2,-119.565556,"Map
,218",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,219",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP2,-119.565556,"Map
,517",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,519",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP4,-119.565556,"Map
,506",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP4,-119.565556,"Map
,507",1072,6,North Pines,Pets Allowed,37.741944,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,520",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LOOP2,-119.565556,"Map
,522",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP3,-119.565556,"Map
,301",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LOOP3,-119.565556,"Map
,303",1072,6,North Pines,Pets Allowed,37.741944,35 Back-In
