ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,001",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,002",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,003",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,004",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,005",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,008",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,009",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,010",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,011",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,012",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,013",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,014",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,015",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,016",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,017",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,018",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,019",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,020",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,022",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,023",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,024",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,025",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,030",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,031",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,032",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,164",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,165",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,166",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,167",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,168",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,169",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,189",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,089",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,170",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,171",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,172",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,173",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,174",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,175",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,190",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,191",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,192",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,193",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,194",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,090",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,091",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,092",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,093",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,094",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,095",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,176",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,177",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,178",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,179",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,180",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,181",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,195",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,RV NONELECTRIC,UPPER PINES ,-119.56555,"Map
,196",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,197",4621,6,Upper Pines,Pets Allowed,37.739132,27 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,198",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,TENT ONLY NONELECTRIC,UPPER PINES ,-119.56555,"Map
,199",4621,6,Upper Pines,Pets Allowed,37.739132, Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,096",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,097",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,098",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,099",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,100",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,182",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,183",4621,6,Upper Pines,Pets Allowed,37.739132,24 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,184",4621,6,Upper Pines,Pets Allowed,37.739132,35 Back-In
Yosemite,4.3,STANDARD NONELECTRIC,UPPER PINES ,-119.56555,"Map
,185",4621,6,Upper Pines,Pets Allowed,37.739132,18 Back-In
