ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Yosemite,4.4,TENT ONLY NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,008",1220,6,Wawona,Pets Allowed,37.878998,
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,009",1220,6,Wawona,Pets Allowed,37.878998,27
Yosemite,4.4,RV NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,010",1220,6,Wawona,Pets Allowed,37.878998,35
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,011",1220,6,Wawona,Pets Allowed,37.878998,35
Yosemite,4.4,RV NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,012",1220,6,Wawona,Pets Allowed,37.878998,24
Yosemite,4.4,TENT ONLY NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,014",1220,6,Wawona,Pets Allowed,37.878998,
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,015",1220,6,Wawona,Pets Allowed,37.878998,27
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,016",1220,6,Wawona,Pets Allowed,37.878998,27
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,017",1220,6,Wawona,Pets Allowed,37.878998,35
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,018",1220,6,Wawona,Pets Allowed,37.878998,27
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,019",1220,6,Wawona,Pets Allowed,37.878998,27
Yosemite,4.4,TENT ONLY NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,020",1220,6,Wawona,Pets Allowed,37.878998,
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,021",1220,6,Wawona,Pets Allowed,37.878998,35
Yosemite,4.4,STANDARD NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,022",1220,6,Wawona,Pets Allowed,37.878998,35
Yosemite,4.4,RV NONELECTRIC,"LOOP A - Sites 8-30, Group Camp",-119.361578,"Map
,023",1220,6,Wawona,Pets Allowed,37.878998,35
