ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Zion,4.6,TENT ONLY NONELECTRIC,Loop D,-112.986389,"Map
,D037",3909,6,Watchman Campground,Pets Allowed,37.198611,
Zion,4.6,TENT ONLY NONELECTRIC,Loop D,-112.986389,"Map
,D038",3909,6,Watchman Campground,Pets Allowed,37.198611,
Zion,4.6,TENT ONLY NONELECTRIC,Loop D,-112.986389,"Map
,D039",3909,6,Watchman Campground,Pets Allowed,37.198611,
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F001",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F002",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F003",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F004",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,GROUP TENT ONLY AREA NONELECTRIC,Zion Group Sites,-112.986389,"Map
,Group Site E005",3909,15,Watchman Campground,Pets Allowed - no,37.198611,
Zion,4.6,TENT ONLY NONELECTRIC,Loop C,-112.986389,"Map
,C014",3909,6,Watchman Campground,Pets Allowed,37.198611,
Zion,4.6,STANDARD ELECTRIC,Loop B,-112.986389,"Map
,B051",3909,6,Watchman Campground,Pets Allowed,37.198611,40 Back-In
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F005",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F006",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F007",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,WALK TO,Loop F,-112.986389,"Map
,F008",3909,6,Watchman Campground,Pets Allowed - no,37.198611,0
Zion,4.6,GROUP TENT ONLY AREA NONELECTRIC,Zion Group Sites,-112.986389,"Map
,Group Site E007",3909,40,Watchman Campground,Pets Allowed - no,37.198611,
Zion,4.6,STANDARD ELECTRIC,Loop A,-112.986389,"Map
,A016HC",3909,"6
",Watchman Campground,Pets Allowed,37.198611,50 Back-In
Zion,4.6,STANDARD ELECTRIC,Loop A,-112.986389,"Map
,A019HC",3909,"6
",Watchman Campground,Pets Allowed,37.198611,40 Back-In
Zion,4.6,TENT ONLY NONELECTRIC,Loop C,-112.986389,"Map
,C015",3909,6,Watchman Campground,Pets Allowed,37.198611,
Zion,4.6,TENT ONLY NONELECTRIC,Loop C,-112.986389,"Map
,C016",3909,6,Watchman Campground,Pets Allowed,37.198611,
