ParkName,Month,Recreation Visitors,Non-Recreation Visitors,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Total Overnight Stays
Zion,2016-01,84145,1860,2522,1350,720,0,184,0,4776
Zion,2016-02,117510,1680,3743,2452,1587,0,289,0,8071
Zion,2016-03,359920,1860,9127,13716,7679,0,3215,0,33737
Zion,2016-04,395768,1800,8110,13810,10668,0,2280,0,34868
Zion,2016-05,447976,1860,6922,14101,7905,0,4122,3028,36078
Zion,2016-06,544890,1800,9909,17225,6679,0,3999,2878,40690
Zion,2016-07,599961,1860,9136,17904,6880,0,2481,3116,39516
Zion,2016-08,477507,1860,8795,17766,6978,0,2481,2458,38478
Zion,2016-09,497825,1800,8588,15688,8063,0,3245,2144,37728
Zion,2016-10,412916,1860,6857,12825,6888,0,3767,2479,32816
Zion,2016-11,232271,1800,7222,8972,5582,0,1425,0,23201
Zion,2016-12,124438,1860,5525,1633,1099,0,760,0,9017
Arches,2016-01,20311,0,0,274,197,0,21,0,491
Arches,2016-02,33200,0,0,850,451,0,34,32,1367
Arches,2016-03,119122,0,0,2786,1674,0,314,608,5382
Arches,2016-04,151112,0,0,3172,2157,0,199,1080,6609
Arches,2016-05,201718,0,0,3632,2217,0,296,780,6924
Arches,2016-06,211706,0,0,3356,1520,0,123,1149,6148
Arches,2016-07,210359,0,0,2740,1709,0,87,111,4648
Arches,2016-08,188340,0,0,2946,2273,0,84,317,5620
Arches,2016-09,200906,0,0,3027,2217,0,16,887,6146
Arches,2016-10,146250,0,0,2808,2150,0,0,688,5646
Arches,2016-11,69404,0,0,2047,1956,0,0,307,4310
Arches,2016-12,33290,0,0,408,137,0,0,0,545
Bryce Canyon,2016-01,24285,21598,398,175,89,0,0,0,662
Bryce Canyon,2016-02,34330,18435,897,218,139,0,6,0,1261
Bryce Canyon,2016-03,92080,27518,2309,1836,1116,0,220,2,5483
Bryce Canyon,2016-04,137698,34514,4981,2230,3814,0,171,0,11195
Bryce Canyon,2016-05,292369,52586,6965,5306,7454,0,638,291,20655
