ParkName,Location,Number_of_Visitors
Acadia National Park,Maine,3303393
National Park of American Samoa,American Samoa,28892
Arches National Park,Utah,1585718
Badlands National Park,South Dakota,996263
Big Bend National Park,Texas,388290
Biscayne National Park,Florida,514709
Black Canyon of the Gunnison National Park,Colorado,238018
Bryce Canyon National Park,Utah,2365110
Canyonlands National Park,Utah,776218
Capitol Reef National Park,Utah,1064904
Carlsbad Caverns National Park,New Mexico,466773
Channel Islands National Park,California,364807
Congaree National Park,South Carolina,143843
Crater Lake National Park,Oregon,756344
Cuyahoga Valley National Park,Ohio,2423390
Death Valley National Park,California,1296283
Denali National Park and Preserve,Alaska,587412
Dry Tortugas National Park,Florida,73661
Everglades National Park,Florida,930907
Gates of the Arctic National Park and Preserve,Alaska,10047
Glacier National Park,Montana,2946681
Glacier Bay National Park,Alaska,520171
Grand Canyon National Park,Arizona,5969811
Grand Teton National Park,Wyoming,3270076
Great Basin National Park,Nevada,144846
Great Sand Dunes National Park and Preserve,Colorado,388308
Great Smoky Mountains National Park,Tennessee,11312786
Guadalupe Mountains National Park,Texas,181839
Haleakal_ National Park,Hawaii,1263558
Hawai Volcanoes National Park,Hawaii,1887580
Hot Springs National Park,Arkansas,1544300
Isle Royale National Park,Michigan,24966
Joshua Tree National Park,California,2505286
Katmai National Park and Preserve,Alaska,37818
Kenai Fjords National Park,Alaska,346534
Kings Canyon National Park,California,607479
Kobuk Valley National Park,Alaska,15500
Lake Clark National Park and Preserve,Alaska,21102
Lassen Volcanic National Park,California,536068
Mommoth Cave National Park,Kentucky,586514
Mesa Verde National Park,Colorado,583527
Mount Rainier National Park,Washington (state),1356913
North Cascades National Park,Washington (state),28646
Olympic National Park,Washington (state),3390221
Petrified Forest National Park,Arizona,643274
Pinnacles National Park,California,215555
Redwood Nationa Park,California,536297
Rocky Mountain National Park,Colorado,4517585
Saguaro National Park,Arizona,820426
Sequoia National Park,California,1254688
Shenandoah National Park,Virginia,1437341
Theodore Roosevelt National Park,North Dakota,753880
Virgin Islands National Park,United States Virgin Islands,411343
Voyageurs National Park,Minnesota,241912
Wind Cave National Park,South Dakota,617377
Wrangell St. Elias National Park,Alaska,79047
Yellow Stone National Park,Wyoming,4257177
Yosemite National Park,California,5028868
Zion National Park,Utah,4295127
