rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Saw the sunrise and sunset from Cadillac. It was beautiful! Lots of people so make sure you get there 30 mins before sunrise or sunset.,Beautiful 
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",This is a must do for us when we are anywhere near Acadia. It's a bit daunting your first time not knowing what the roads will be like on your way to the top but I assure you that they are paved and well maintained....,On a clear day you can see forever!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We drove up to Cadillac Mountain for sunrise this past Saturday (Columbus Day Weekend). There is a parking lot at the top of the mountain so you do not need to hike up if you don't want to. However the parking lot is small and...,Sunrise
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The highest point on the east coast at 1,530 feet, the views are amazing. Beautiful to see and a camera bugs dream. The rocky shores, to the near by mountains and valleys paint a landscape not to be missed",Breathtaking views
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","I almost didn't take the turn to go up the mountain. In fact, I didn't know you could drive up there. Wow, the views are spectacular!! Gives you a good perspective of the area and the surrounding islands. A cold wind was ripping, so I...",Glad we made the drive up the mountain!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We went up Cadillac Mountain (by car) 3 times during our week in Acadia. During the day - beautiful views, easily accessible, easy hiking. For sunrise - get up super early, or you won't get parking. We ended up at one of the turn outs,...",Good at all times of day
"ui_bubble_rating bubble_40,ratingDate relativeDate",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Along with a lot of other people, we got up very early and drove to the mountain to be the first in the US to see the sunrise. It was worth getting up at 3:30 am for the experience. We got there around 4:30 and...","Sunrise, Sunset"
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Gee, not much to add to other reviews except it is a beautiful spot virtually any time you can get here. 360 degree views that made me want to stay and enjoy. Don't forget to visit the raptor observers and find out about their work...",Beauty
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Be certain to drive to the top of Cadillac Mountain. The views are breath taking. This drive was the highlight of out trip to the park.,New England Fall
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The Cadillac Mountain tour is a must if you are in Bar Harbor. It was cold but sunny the day we were there. One hour on the top was more then enough. Bring your camera! Enjoy.,See a hundred miles
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",No trip to Acadia would be complete without a trip to the top of Cadillac Mountain. The views are incredible. We were in Bar Harbor on a cruise & were able to see our cruise ship in the harbor waaaay below. We arranged for a...,Incredible view
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",This had a great view at the top- parking was a bit slow- but we sat on top the rocks ate our lunch and hiked a bit downwards . Weather and views were spectacular on our weekend visit in October!,Great view
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is one spot, where I have been in 3 different seasons, at cumulatively 4 different times of day, and every time the experience was unbeatable.
Cadillac Mountain was beautiful on a sunny day, the pictures were really class apart.
Then we went there on...","A spot for all the seasons, any time of the day"
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",One of the highlights to see in Acadia! Get up early and drive to Cadillac Mountain to see the sunrise!,Don't miss the summit at sunrise! 
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","While the view from the top of Cadiallac Mountain does give you a better appreciation of all the surrounding islands, it does get very crowded even in October. When we arrived about 10:00 there was only one bus there and the parking lot was full....",Cadillac Mountain in Acadia National Park
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Even though we didn't make it for sunrise, the mountain is definitely worth visiting . We got there about 9:30 and although it was busy, there was parking. The views are beautiful and you can walk around the few short trails. Look carefully and you...",See the View
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Worth the wait. Cold and windy -be sure to have an extra layer and maybe a hat and gloves if you tend to be cold natured like me!,Beautiful Sunset
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Blessed with excellent weather and very clear, we drove to the top of the mountain. Parking was not an issue in Sept. Had a good walk around, plenty of information boards up there and good views.
Facilities and a small shop at the top with...",Well worth the visit.
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",You may grumble to get out of bed early and drive up Cadillac Mountain but you’ll be glad you did. What a beautiful sunrise and a fun experience! Don’t miss it.,Dawn on the mountain
