rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Two 65 year old flatlanders did this hike in Sept. We had to take a few rest stops but we did it. It was one of the highlights of our vacation. We fought high winds, sand blowing, and the trail itself but we enjoyed it....",Sept 2017 vacation
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The 3 mile round trip hike to this outstanding ""Free Standing"" arch is a must do. The hike is rated ""Difficult"" which is correct. If you have concerns about a difficult hike, give this one a try. Take your time, stop and catch your breath....","Amazing ""Free Standing"" Arch!"
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Hiked to Delicate Arch on a partly cloudy, 75-degree day, lucky. There is a significant vertical element to the hike, hotter days would require some rest stops. Photo opportunities are excellent, the crowd politely takes turns under the arch. Honestly, I can't use reason to...",Natural Miracle
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Beautiful country. Amazing rock formations. Awesome. Worth going to see. Can get out and hike in some places.,Family Vacation
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",There are multiple ways to experience Delicate Arch. There is a short drive to an Overlook area. There is an Upper and Lower Overlook. The lower Overlook is an easy flat walk that anyone can use to view the arch. A telephoto lens would be...,Best Arch in the Park
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The hike up to Delicate Arch is strenuous, but worth it. The brochure you receive at the ticket booth recommends a quart of water for this 3 mile hike. Good advice. We did and we drank it all by the time we were done with...",A chipmunk 400 feet up! 
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","I love this trail, yes it's strenuous to get up there but just take your time. My only complaint is it's a very busy trail although there's lots of room on the trail the top gets quite crowded. Always take water, good shoes, and hiking...",Best Arch in the Park
"ui_bubble_rating bubble_30,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","When we were in the park, some of the roads were closed and we had to view the arch from down below. Disappointed that we could not get close up for photos. It looks amazing in others photos.",View from a distance 
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This was a wonderful hike - early on in the hike we took the small detour to see the petroglyphs and then set on our way. The hike was slightly undulating to start with, but once it reached the slickrock, it was a fairly relentless...",great rewards
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","went up three times , in three days , i just loved the sight of this arch when i reached the top on a hot day in september, but , this magnificent arch and the wonderful cooling breezes , made this a fantastic hike and...",""" THE GREATNESS OF A LONG HIKE UP WOW"""
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",O/k you have a to be a little bit fit but well worth the walk and don't do it in the middle of the day in Summer you could die from heat exhaustion,Best part of Arches national park
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Seeing the arch first-hand is well worth the 3-mile round trip hike, which is only moderately strenuous in a few places on the way up. But be sure to go early! By late morning there is hardly any shade and the heat would make the...","Amazing hike, but go early"
