rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",This is a must see National Park. The views are incredible! The shuttle will take you to all the view and hiking spots. You have to visit this park!!!,Most amazing place ever!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Go early unless you want to spend the day waiting for shuttle buses. We got there early in the morning and parking lots were near capacity. Rangers were beginning to turn people away.
Many people just enjoyed the view from the rim. That is special,...",Spectacular
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Awesome! Stop at:
Rainbow Point. Black Birch Canyon. Ponderosa Canyon. Agua Canyon. Natural Bridge. Bryce Point.",Hiking 
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",After visiting Bryce twice in the last few months with two different groups I would like to pass along a couple of tips which might be helpful. I experienced Bryce two ways: all day at the park and a half day. If you are limited...,5 doesn't do it justice
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Easily accessible walkways along the rim and many overlooks. We walked down into the Canyon which was incredibly beautiful.,Absolutely amazing
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","On reaching top of the climb was speechless - so unique and the sculptures of all shapes and colours was mind blowing. My camera nearly burned out, I think this was my favourite of all and felt emotional - great visit.","Over 2,000 meters up -"
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Astonishing park! Grand Canyon has your beauties, but this park is breathless. You can walk down and discover the paths hidden the rocks, the landscape is amazing during the sun set.",Looks like another planet
"ui_bubble_rating bubble_30,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The scenes are beautiful. But the place is poorly run. Things (trails, lodge) are very poorly marked by signs. Maps are not adequate. A ranger did not show up at sunset point for a tour. Luckily we found her at another spot on the advice...",Very Scenic but Poorly Run
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",First time ever here and well worth the drive over from Zion. Awesome somehow is inadequate for this national Treasure. Got there later in the day so parking was ample anywhere . If you want to stay over there are multiple choices of hotels ....,Great
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","You will not want to miss this park! Although this park does allow you to bring your own vehicle into the park, I would STRONGLY recommend using the park's FREE shuttle service. The shuttle will take you directly to all of the park's viewpoints, so...",Vacation to Southern Utah
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We went in early May 2017. Weather very warm but not intolerably hot. Views were absolutely stunning. As an amateur landscape photographer i have seen a few landscapes, and this is definitely top notch.",Bryce Canyon visit
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Simply beautiful. Come and marvel at this beauty. Bryce Canyon is the most breathtaking National Park I’ve ever been to. Amazing!,Simply stunning.
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The park is gorgeous with stunning views. You can drive along the road and stop at numerous pull outs and enjoy the views but take time to do a hike or two and really experience the park. They have hikes rated easy, moderate and strenuous....",Amazing!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is a must see National Park. After my first visit, I fully intend to return to this park many times. The scenery every way you turn your head is breathtaking. Try to arrive before sunrise as the light from the early dawn makes for...",Visually Stunning Park
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We just got back from visiting and I must say just how beautiful it is. As you walk the trail from the parking lot to the views it will take your breath away. They colors are so vibrant! Love it!,Beyond Beautiful!!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Absolute must to visit in Utah. Scenery is dramatic and simply stunning. The trails are easy to follow. Most are steep and not for the faint-hearted or people with fear of heights. Photo opportunities huge and we took about 50 pics. Fantastic.,Truly awesome
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Hoodoos everywhere! Fantastic hiking! Wall Street, the Queen's Garden, Peek a boo trail...it was a hiker's and photographer's paradise!",The most beautiful scenery ever!
