rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
"ui_bubble_rating bubble_50,ratingDate relativeDate",,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Traveling in the open top 1930's ""jammer"" buses up to the top of the pass was quite an experience. The driver stopped multiple times for pictures - easy when all you have to do is stand up ""through"" the roof. The views were amazing -...",Breathtaking!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The scenery is just incredible...The Road is steep and narrow, but well kept with many turnouts for picture taking...There were repairs going on ,so we had to turn back when we Reached the top, otherwise we would have driven all the way down as well...will...",So beautiful!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Drove this road 2 times while visiting the park. The first day there was lots of clouds and we saw very little, but made for great photo opts and very cold temps. The second day was gorgeous! Wow what views and LOTS of cars! Many...",Enjoyed 2 days on GTTS
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We visited in mid September and the wild fires were a real nuisance ,we had to enter the park via the West entrance as other routes were closed.The road to the sun was closed at Logan Pass and traffic had to turn round and back...","""Wild fires a big problem"""
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","A narrow and steep road across mountains from the West to East. It's a 2 hours drive one way, but it's very beautiful... I would have listed it as the No.1 national park drive if I didn't go to the Trail Ridge road(Rocky Mtn NP...",Stunning Views!!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We have been to Glacier National Park a total of 6 trips, 3 days each trip. Going-to-the-Sun Road. This is the most scenic and beautiful drive in the National Park System. This year due to the forest fires every thing was hazy with smoke. Some...","GLACIER, CANADIAN ROCKIES, YELLOWSTONE TRIP"
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Visited here during recent wildfires and were unable to access the road from the West. We drove around the park for access from the East and were able to drive around half of the road. Very dramatic views through the smoke - very eery, Would...",Wildfires closed the road
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Going-to-the-Sun Road is one of the most beautiful drives in the U.S. There was a smoky haze that filled the air when I was there but it was still beautiful nonetheless. I was there just before the road was closed due to the fires. Spectacular...,Spectacular!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The scenic drive is a very steep, curvy, small two-lane roadway (one lane going in each direction). Waterfalls, streams, valleys, spring flowers--it had it all. We experienced rain & lightning on our way back. Apparently, this is not uncommon to the area so be prepared...",Spectacular scenery! 
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We were lucky to arrive before the wildfires affected the views and caused the closing of the road at Logan Pass. We enjoyed the beautiful mountain scenery and preferred driving on our own rather than taking the Red Bus or the shuttle. There were many...,Drive it in Both Directions!
"ui_bubble_rating bubble_40,ratingDate",,
"ui_bubble_rating bubble_30,ratingDate",,
"ui_bubble_rating bubble_50,ratingDate",,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Road and parking get crowded even early in the day....we had to park and walk along road to get to some attractions.,Narrow steep old road
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",This road is the highlight of GNP. The best way to explore it is starting you trip early in the morning. Logan Pass parking lot usually packed by 9am. It is better to explore it from top of the mountain ( I mean Logan Pass)....,Wow ...insanely beautiful
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Our trip to Glazier National Park had been on our ""bucket list"" for yrs. This August we spent four days in and around the park- driving the Going to the Sun Road twice, once each way. The drive was breathtakingly beautiful- each direction we drove...",Bucket List Trip
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Glacier National Park is a wonder to see. It is majestic, awesome and should be on your to do list. However, do not take the Red Bus Tour as it is a complete waste of time and money and very disappointing. There are other ways...",Great drive to see Glacier National Park.
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Not much to add here, other that we were lucky to have stayed on the west side and drive up to Logan Pass. I think that it's better to see it coming up the mountain from the west than going down from the east.",One of a kind!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","An extremely charming & fascinating ride in an open top 1930's touring car body with a new 4 wheel drive chassis built by Ford Motors, with dramatically beautiful views of mountains & water at every turn & a fun & informative tour driver, ""Jammer"" Carl....",Dramatically beautiful mountain & lake views
"ui_bubble_rating bubble_50,ratingDate",,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_50,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_30,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We drove this road once (each way) on our 9-day trip to Glacier and that was enough for us. This was early September and there were massive fires across the park and in Canada so visibility was terrible, this may be why we did not...",Not very accessible for sightseeing
