rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",It's a very short hike to this lovely valley. It's not until you're at the heart of the valley and recognize the high tops. Very easy hike and worth it.,Beautiful Scenery
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","A quick visit while driving through the park, nice area to stop and strew hi your legs, and definitely enjoy the sceneries",Worth stopping by 
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Always wanted to visit Joshua Tree and it didn't disappoint - this is an easy, flat 1 hr walk (but it's hot so take water) with some great rock formations and landscapes.
Lots of parking, well marked trail
My teenagers felt JT was the 'hidden...",Easy 1 hr walk in the heart of the park
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Made a stop a Josua Tree NP on the way from LA to Kingman (AZ). Took the smaill trail in the Hidden Valley - very beautifull and hot - remember to bring water :-)
The teenagers loved to climb the rocks.",Hot and beautifull little trail
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The title of my review says it all... Joshua Tree is a one of kind desert destination that is very worthwhile. There is a great deal to see here, and well worth the 2hr drive that takes you straight through it. There are many places...","Amazing place, truly unique and mystical. Beware the HEAT!"
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",There so much to see that you really need to take every trail that you have time for. Much of it is the same but then there will be a rock outcropping that makes this particular hike worthwhile,More Desert Beauty
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Did a lot of the park in one day but this is the one trail i completed. Bring water its open desert but simply stunning in all ways!,Simply Amazing!
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Just stunning. You can stare at the for hours I think. Fun camping spot. Always busy.
We will be going back and spending a bit more time here.",The rock formations!!!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",My favorite place to picnic. Shade is a shortage in this Park and here we have several tables in the shade. The rocks make a great backdrop. Toilets are basic but serve their purpose well. It's a busy area but we have always found a...,Perfect for a Picnic
"ui_bubble_rating bubble_30,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","I have heard of Joshua Tree National Park and was very keen to visit but to be honest disappointed upon arrival. Once you have seen one (1) Joshua Tree - they all look the same. Some of the rock formations were very interesting but overall,...",Just worth a visit
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The place where cattle thieves hid their cattle. Very interesting vegetation - much more lush than the rest of the park. Interesting rock formation. A hike for everyone - not strenuous at all.,Nice 45 min hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","This is really a unique feature of this park and was a place where the cattlemen ""hid"" their cattle in a natural corral hidden in the hills.",Well worth the hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","On our drive from Palm Springs to La Quinta we stopped off at the Joshua Tree National Park arriving at about 16:00. There were only a few cars in the Hidden Valley trailhead parking lot so we had the trail practically to ourselves.
The flora...",Very Scenic and Atmospheric Hidden Valley!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We spent an entire day walking through Joshua Tree National Park, and the highlight of the day was our hike at Hidden Valley. Hundreds of photo opportunities. So many rocks for the kids to climb. Lots of wildlife. Plenty of picnic benches at the trailhead....",By far our favorite
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_40,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","A nice, hour long hike. In a spring or winter day, this is advisable, as it's very hot in the summer. If you want to climb up on the rocks (and if you're able-bodied, you probably do) bring shoes with good grippy soles. The Vans...","Beautiful, quiet, charming"
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Right in the heart of Joshua Tree National Park, do not miss this hidden gem, it is well worth a visit. Following the path at a leisurely walk might take less than one hour, and it is really gorgeous. If you chose to only walk...",Absolutely gorgeous
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Joshua tree is brilliant. Camping at Hidden Valley was gorgeous, highly recommended. Heaps of climbers staying there and lots of rocks nearby to climb. Was totally beautiful. Camp doesn't have water and toilets are self composting, but were ok. Really busy over the weekend and...",Don't miss this place
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The hike is easy but fun and interesting with a variety of flora and fauna. The large clusters of boulders are fun for all ages. The trail is accessible from the picnic area.,Great hike and boulder climbing!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","A beautiful loop approx 1 mile. The Joshua trees were in bloom, the boulders were fun to traverse, the scrapes were ever changing and awe inspiring.",If you are limited on time go here first!
