rating,reviews_index,reviews_topic
"ui_bubble_rating bubble_50,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","We had a little different view of the area due to fires through out the northwest. It was a bit smoky, but the ridges were still distinct and interesting. We hiked the Cirque Rim and High Ridge trails and had beautiful views of the area...",Beautiful mountain ridges!
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Amazing views from the inner lot! Paths to walk at the top and we were above the clouds! Windy road but not as bad as the one in Zion National Park. Just watch for animals!,Worth the drive in!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Such a beautiful place ... Check out the visitor center, they are very helpful. The roads are crazy but so worth it when get to the top. There is gift shop, flushing toilets and food and a cute little chipmunks looking for droppings. :) The...",Wowzer!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","After hiking to the top, slight incline and paved, take a lunch to the visitor center and eat it out in back- absolutely breathtaking views!",Awesome hike
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",We just arrived close to 4pm at Port Angels for our 4 day Olympic National Park Experience. Before we checked in to the Olympic Lodge we drove right up to Hurricane Ridge since the day was sunny and clear skies. Even though we knew it...,What a beautiful place
"ui_bubble_rating bubble_40,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The views from the trail are stunning!!!! Highly recommended. Just a word of caution - this is a STEEP uphill climb. There are only 2 or 3 benches to stop at. We saw a few deer and that was really neat. We were going back...,Amazing views
"ui_bubble_rating bubble_50,book_text,and_up",,
"ui_bubble_rating bubble_50,book_text,and_up",,
"ui_bubble_rating bubble_50,book_text,and_up",,
"ui_bubble_rating bubble_50,book_text,and_up",,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",After the windy drive up the mountain to the visitor center make sure your water bottles are full and your legs are ready for the workout that is the hurricane hill trail. While the trail is rated as a moderate/easy hike with only about 700...,Hurricane Hill Trail 
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",The weather was poor but the experience wonderful. Great hikes and beautiful surroundings. We saw lots of deer. We walked along the road above the lodge and it was a great experience.,A tried-and-true favorite
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","The drive up was a bit dicey! Twisty, curving road up the mountain but it was a lot of fun to drive. We actually drove through the clouds at one point and the Visitor Center is ABOVE the clouds! Don't miss...",Great views!
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Lots of trails to choose from. So you can do a simple hike or an extreme one if you like. The views are amazing and worth the effort! Bring lots of water.,Fantastic Hiking
"ui_bubble_rating bubble_45,book_text,and_up",,
"ui_bubble_rating bubble_45,book_text,and_up",,
ui_bubble_rating bubble_45,,
"ui_bubble_rating bubble_50,ratingDate relativeDate,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button","Well worth the drive up the mountain on the sunny, clear day we went. Park at the visitors center and drink in the incredible views. If you're more adventurous, choose one of the hiking trails to see more. There are some for every level of...",Incredible Vistas
"ui_bubble_rating bubble_50,ratingDate relativeDate,imgWrap ,imgWrap ,imgWrap ,imgWrap ,taLnk no_cpu ui_icon flag-fill,thankButton hsx_thank_button",Hurricane Ridge is only about 45 minutes from Port Angeles. It is really an epic big place that you will not get a feel for from pictures. Olympic National Park is huge and this is only one part of it. You drive up a very...,86 degrees and snow! 
